Name	Total	Bin.1	Bin.2	Bin.3	Bin.4	Bin.5	Bin.6	Bin.7	Bin.8	Bin.9	Bin.10	Bin.11	Bin.12
apFAB129--B0034_RBS	29449	6261	4207	1	10	17	63	293	5768	9211	2830	785	3
apFAB302--apFAB872	27341	6618	4773	1233	1907	9046	2662	727	180	156	9	1	29
BBa_J23106--apFAB876	26684	6450	4207	108	88	762	4279	7573	2427	682	106	0	2
BBa_J23108--apFAB954	26545	7473	7020	4461	3138	3563	498	221	16	85	68	1	1
BBa_J23118--apFAB876	25937	5316	3431	6	0	47	42	264	3008	9691	3983	148	1
apFAB342--apFAB821	25359	6685	7320	3538	3515	3484	634	129	6	0	45	1	2
apFAB300--BBa_J61110	24897	7484	8893	4153	2771	882	244	168	49	149	103	1	0
apFAB277--apFAB954	24793	6156	4103	930	1371	7414	3302	1359	89	10	52	6	1
apFAB312--Anderson_RBS	24386	5725	3984	92	66	1336	3942	6833	2134	218	55	1	0
apFAB259--apFAB831	24126	5925	3862	537	1112	7636	3585	1042	173	22	60	1	171
BBa_J23115--apFAB834	23745	7082	7264	3256	2748	2989	265	44	20	2	74	1	0
apFAB125--apFAB901	23745	3853	2628	0	3	6	20	101	885	9052	6366	779	52
BBa_J23115--apFAB837	23436	7065	7822	3966	2768	1596	84	25	13	0	93	4	0
BBa_J23116--apFAB837	23225	6166	6615	4034	2043	3134	591	209	26	1	155	251	0
BBa_J23106--apFAB954	22899	5572	3867	568	659	6444	3902	1625	198	63	1	0	0
BBa_J23108--apFAB901	22615	7613	7688	3075	2051	1659	243	136	21	1	85	42	1
apFAB312--apFAB917	22516	4097	2598	30	2	58	11	95	370	6398	6873	1984	0
apFAB277--apFAB837	22314	5820	3843	3	5	277	3011	6482	2407	217	247	0	2
apFAB312--apFAB883	22311	5703	4093	1133	1870	6594	1866	890	154	7	1	0	0
apFAB311--apFAB904	22061	5834	3736	43	26	63	254	2247	6171	3086	579	1	21
BBa_J23102--BBa_J61103	22022	5796	5549	3898	2917	3024	534	55	45	80	100	24	0
apFAB312--BBa_J61129	22017	5871	5081	3078	2930	3833	759	371	0	33	59	2	0
BBa_J23118--BBa_J61132	21960	5815	4887	2737	2409	4349	1209	391	89	56	18	0	0
BBa_J23115--apFAB889	21806	5432	5328	2706	1839	4667	1515	269	45	2	3	0	0
apFAB312--BBa_J61113	21799	5732	3677	9	99	2055	4423	4334	1338	104	26	1	1
BBa_J23107--apFAB904	21720	3984	2572	36	4	8	29	62	193	5471	7611	1656	94
apFAB64--BBa_J61108	21636	3859	2840	3	1	0	20	33	634	7405	5973	868	0
apFAB312--apFAB909	21567	5725	3911	19	38	1500	4846	4319	1145	56	5	2	1
apFAB312--apFAB954	21418	5251	3826	956	2053	7108	1721	411	1	64	27	0	0
BBa_J23118--apFAB954	21268	5730	3578	93	11	73	1190	4160	4703	1239	278	210	3
BBa_J23102--BBa_J61113	21140	5082	3386	1	41	503	3642	5732	2143	389	103	4	114
apFAB339--apFAB954	21138	3464	2357	0	0	10	2	6	515	7904	5451	1157	272
apFAB277--apFAB901	21108	5550	3461	171	620	6033	3607	1411	165	67	22	1	0
BBa_J23108--apFAB910	21103	6997	7119	2669	1763	1707	570	79	1	105	89	2	2
BBa_J23109--apFAB910	21063	5578	3864	239	556	5656	3641	1431	32	39	24	1	2
BBa_J23115--apFAB833	20980	5478	3766	732	1856	6799	1660	450	117	0	4	117	1
BBa_J23114--apFAB904	20936	5459	4359	2591	2357	4995	965	130	23	1	54	1	1
apFAB306--apFAB844	20934	5129	3746	1140	1443	7144	1575	560	71	124	0	2	0
apFAB311--apFAB876	20888	5547	6419	3021	1943	3298	242	183	69	29	82	55	0
BBa_J23118--apFAB904	20839	3235	2246	0	0	1	15	3	17	1070	4390	8694	1168
apFAB62--apFAB954	20598	3266	2324	42	0	2	2	55	3	3	546	9063	5292
BBa_J23108--apFAB857	20568	4806	4594	1870	1782	6072	884	261	74	166	13	1	45
apFAB342--apFAB837	20469	3264	2150	1	0	2	6	3	195	6106	6454	2183	105
apFAB312--apFAB901	20468	4545	3053	455	1049	7032	3177	991	127	1	35	1	2
apFAB75--BBa_J61134	20390	4530	3645	948	2131	6147	2324	503	6	38	116	2	0
BBa_J23116--apFAB834	20372	5110	4207	1447	2477	5448	1254	397	27	0	1	2	2
BBa_J23108--apFAB872	20368	8183	7943	2130	1221	634	0	31	12	0	214	0	0
apFAB322--apFAB904	20357	4015	2678	35	10	1	1	2	1	3	365	5056	8190
BBa_J23118--apFAB844	20302	4806	3493	1019	1102	7245	2033	519	10	19	55	0	1
BBa_J23109--apFAB872	20278	5917	5846	3540	2206	2090	407	159	2	30	71	1	9
BBa_J23118--apFAB872	20124	5207	3793	812	1293	6303	2268	439	8	1	0	0	0
apFAB312--BBa_J61112	20124	5164	3868	1305	1438	5767	2017	392	126	46	0	0	1
apFAB277--BBa_J61134	20076	5890	6669	3276	1975	1415	411	129	90	137	84	0	0
