Name	Total	Bin 1	Bin 2	Bin 3	Bin 4	Bin 5	Bin 6	Bin 7	Bin 8	Bin 9	Bin 10	Bin 11	Bin 12
apFAB129--B0034_RBS	18990	4	5	1	10	17	63	293	5768	9211	2830	785	3
apFAB125--apFAB901	17277	9	4	0	3	6	20	101	885	9052	6366	779	52
BBa_J23118--apFAB876	17213	22	1	6	0	47	42	264	3008	9691	3983	148	1
apFAB302--apFAB872	16460	88	422	1233	1907	9046	2662	727	180	156	9	1	29
BBa_J23106--apFAB876	16050	8	15	108	88	762	4279	7573	2427	682	106	0	2
apFAB312--apFAB917	15863	36	6	30	2	58	11	95	370	6398	6873	1984	0
BBa_J23108--apFAB954	15440	713	2675	4461	3138	3563	498	221	16	85	68	1	1
BBa_J23118--apFAB904	15364	5	1	0	0	1	15	3	17	1070	4390	8694	1168
apFAB339--apFAB954	15323	6	0	0	0	10	2	6	515	7904	5451	1157	272
BBa_J23107--apFAB904	15226	37	25	36	4	8	29	62	193	5471	7611	1656	94
apFAB342--apFAB821	15196	694	3148	3538	3515	3484	634	129	6	0	45	1	2
apFAB342--apFAB837	15069	11	3	1	0	2	6	3	195	6106	6454	2183	105
apFAB62--apFAB954	15022	12	2	42	0	2	2	55	3	3	546	9063	5292
apFAB64--BBa_J61108	14976	8	31	3	1	0	20	33	634	7405	5973	868	0
apFAB312--Anderson_RBS	14827	26	124	92	66	1336	3942	6833	2134	218	55	1	0
apFAB277--apFAB954	14806	87	185	930	1371	7414	3302	1359	89	10	52	6	1
apFAB259--apFAB831	14717	114	264	537	1112	7636	3585	1042	173	22	60	1	171
apFAB347--apFAB954	14699	26	0	0	1	81	3	1	11	309	3253	9156	1858
apFAB300--BBa_J61110	14366	1211	4635	4153	2771	882	244	168	49	149	103	1	0
BBa_J23104--apFAB954	14106	17	45	0	6	2	39	52	97	5127	6653	2068	0
apFAB64--apFAB892	13987	3	2	7	0	4	2	2	274	6889	4603	2137	64
apFAB63--apFAB876	13830	6	56	1	1	2	1	1	7	296	3108	8756	1595
apFAB322--apFAB904	13706	2	40	35	10	1	1	2	1	3	365	5056	8190
BBa_J23118--apFAB833	13696	12	2	1	1	2	1	4	78	1933	6106	4967	589
BBa_J23116--apFAB837	13666	592	2630	4034	2043	3134	591	209	26	1	155	251	0
BBa_J23115--apFAB834	13621	902	3320	3256	2748	2989	265	44	20	2	74	1	0
BBa_J23104--apFAB901	13615	6	1	4	1	3	1	14	114	5150	5769	2551	1
BBa_J23106--apFAB954	13583	10	113	568	659	6444	3902	1625	198	63	1	0	0
apFAB342--apFAB916	13551	16	1	77	0	10	8	159	794	6285	4808	1353	40
apFAB62--apFAB872	13526	3	4	1	10	5	8	64	1471	7161	3952	846	1
apFAB322--apFAB857	13466	1	6	2	1	3	11	1	76	4546	5539	3279	1
apFAB115--apFAB901	13434	20	31	2	13	3	18	25	647	7214	4494	967	0
apFAB339--apFAB856	13360	36	1	18	2	3	4	9	123	6549	5063	1550	2
BBa_J23102--BBa_J61103	13313	455	2181	3898	2917	3024	534	55	45	80	100	24	0
BBa_J23106--Bujard_RBS	13271	0	15	0	0	0	1	7	30	375	2809	8515	1519
apFAB322--apFAB876	13221	0	2	2	1	1	3	1	57	4411	7386	1357	0
apFAB346--apFAB837	13207	1	0	0	1	6	2	3	3	122	1455	8838	2776
BBa_J23115--apFAB837	13197	939	3709	3966	2768	1596	84	25	13	0	93	4	0
apFAB302--apFAB917	13156	13	0	2	0	4	32	4	33	411	3432	7269	1956
apFAB63--apFAB910	13136	3	70	130	0	3	2	14	189	4564	6033	2126	2
BBa_J23115--apFAB889	13080	178	1856	2706	1839	4667	1515	269	45	2	3	0	0
apFAB312--apFAB883	12996	114	367	1133	1870	6594	1866	890	154	7	1	0	0
apFAB115--apFAB837	12944	5	0	1	0	2	3	3	71	226	1033	8837	2763
apFAB312--apFAB901	12930	20	40	455	1049	7032	3177	991	127	1	35	1	2
apFAB312--BBa_J61129	12858	326	1467	3078	2930	3833	759	371	0	33	59	2	0
apFAB312--apFAB954	12849	126	382	956	2053	7108	1721	411	1	64	27	0	0
apFAB75--BBa_J61134	12840	49	576	948	2131	6147	2324	503	6	38	116	2	0
apFAB338--apFAB865	12831	2	3	113	372	4285	5244	2371	441	0	0	0	0
apFAB62--BBa_J61108	12826	15	101	1	1	1	2	74	295	7396	4266	674	0
apFAB312--apFAB916	12799	12	0	3	22	58	4	16	418	6586	4023	1656	1
apFAB317--BBa_J61132	12785	27	68	107	2	2	44	15	915	7772	3316	517	0
apFAB345--apFAB954	12759	8	1	2	21	2	0	26	250	4088	5374	2653	334
BBa_J23118--BBa_J61132	12758	209	1291	2737	2409	4349	1209	391	89	56	18	0	0
apFAB58--apFAB876	12742	2	4	5	0	1	10	36	2817	5985	3386	493	3
apFAB346--apFAB917	12729	2	2	1	1	3	2	29	3	127	490	6603	5466
BBa_J23108--apFAB857	12714	179	1367	1870	1782	6072	884	261	74	166	13	1	45
BBa_J23102--BBa_J61113	12677	3	2	1	41	503	3642	5732	2143	389	103	4	114
apFAB277--apFAB837	12672	21	0	3	5	277	3011	6482	2407	217	247	0	2
apFAB104--apFAB904	12596	60	96	61	1	36	48	149	4083	5121	2188	753	0
apFAB75--apFAB876	12557	22	42	0	1	4	0	1	28	1	574	6764	5120
apFAB311--apFAB904	12555	4	60	43	26	63	254	2247	6171	3086	579	1	21
apFAB277--Plotkin_RBS	12523	2	75	20	2	16	50	142	2009	6697	3280	229	1
apFAB306--apFAB844	12514	86	369	1140	1443	7144	1575	560	71	124	0	2	0
apFAB312--BBa_J61113	12499	27	82	9	99	2055	4423	4334	1338	104	26	1	1
apFAB87--B0034_RBS	12489	2	0	0	0	1	17	42	537	6591	4402	645	252
apFAB345--apFAB901	12463	2	3	2	35	1	1	5	91	4292	6235	1796	0
BBa_J23118--apFAB844	12430	27	400	1019	1102	7245	2033	519	10	19	55	0	1
apFAB61--BBa_J61131	12412	8	48	47	1	1	4	3	989	6981	3236	1093	1
apFAB130--apFAB904	12411	209	1068	2449	3040	4362	954	126	52	1	12	138	0
apFAB125--BBa_J61120	12374	92	265	1244	1839	5996	1590	960	37	144	104	102	1
BBa_J23114--apFAB904	12350	240	992	2591	2357	4995	965	130	23	1	54	1	1
apFAB311--apFAB876	12327	475	2930	3021	1943	3298	242	183	69	29	82	55	0
BBa_J23108--apFAB901	12287	1377	3596	3075	2051	1659	243	136	21	1	85	42	1
apFAB75--apFAB868	12247	17	2	90	81	4239	4771	2407	245	107	157	130	1
apFAB302--apFAB857	12201	2	1	34	10	13	2	40	1084	6244	4174	597	0
BBa_J23102--BBa_J61134	12176	388	2019	3269	2557	3321	473	79	1	54	10	5	0
apFAB302--apFAB923	12165	1	1	4	0	8	4	29	139	3419	5417	2617	526
BBa_J23113--apFAB833	12158	16	10	31	1	3	2	19	335	4924	4261	2556	0
BBa_J23115--apFAB833	12154	68	350	732	1856	6799	1660	450	117	0	4	117	1
apFAB277--apFAB901	12130	32	1	171	620	6033	3607	1411	165	67	22	1	0
BBa_J23118--apFAB837	12129	1	35	1	18	1	1	17	45	194	3060	7994	762
apFAB342--apFAB884	12126	5	89	2	1	12	16	22	1286	7222	2935	535	1
apFAB338--apFAB837	12114	19	53	0	0	15	10	19	204	4756	5165	1873	0
apFAB125--apFAB876	12085	52	5	0	0	0	5	5	2	283	2326	8002	1405
apFAB302--apFAB831	12071	19	2	2	0	2	47	29	772	6875	3720	603	0
BBa_J23116--apFAB834	12052	124	873	1447	2477	5448	1254	397	27	0	1	2	2
apFAB55--apFAB876	12036	1	6	1	0	62	4	67	4347	6117	1037	393	1
apFAB312--apFAB909	12034	36	67	19	38	1500	4846	4319	1145	56	5	2	1
BBa_J23100--apFAB865	12031	18	1	18	22	3	0	23	1	1881	5122	4455	487
BBa_J23118--apFAB831	12018	22	35	141	0	4	23	92	2891	6482	2326	1	1
apFAB322--apFAB827	12014	11	66	0	1	2	68	83	708	6732	4338	2	3
BBa_J23114--apFAB834	11987	374	2201	3176	2022	3241	802	114	57	0	0	0	0
BBa_J23118--apFAB954	11962	1	1	93	11	73	1190	4160	4703	1239	278	210	3
apFAB346--apFAB831	11950	9	81	78	37	2	0	34	181	5062	4516	1949	1
apFAB347--apFAB876	11936	25	53	1	1	4	5	25	109	3948	5243	2522	0
apFAB150--apFAB904	11931	1	53	1	1	0	28	79	34	42	1137	9097	1458
apFAB302--apFAB876	11920	22	86	104	0	6	34	26	315	5218	4285	1748	76
apFAB306--apFAB904	11912	17	1	0	2	24	1	6	63	1271	4162	5899	466
apFAB259--apFAB954	11901	121	814	2107	2772	4458	1211	406	7	2	0	3	0
apFAB323--apFAB903	11884	52	2	40	113	3	3	43	769	7728	2848	283	0
apFAB302--apFAB837	11811	15	1	0	1	1	1	0	68	783	4466	5883	592
BBa_J23113--apFAB837	11810	1	1	2	1	3	3	119	1661	6465	2932	622	0
apFAB302--salis-4-4	11800	11	75	0	1	2	11	32	253	4085	5187	1616	527
apFAB277--BBa_J61134	11791	926	3348	3276	1975	1415	411	129	90	137	84	0	0
apFAB342--apFAB868	11778	383	2714	2425	3087	2535	396	219	19	0	0	0	0
apFAB259--apFAB833	11758	15	2	141	414	4784	4507	1517	296	1	79	1	1
apFAB338--BBa_J61131	11747	870	3505	3229	2218	1601	182	83	59	0	0	0	0
BBa_J23100--Anderson_RBS	11746	2	1	1	0	4	1	1	5	631	2931	6497	1672
apFAB130--B0030_RBS	11738	28	83	0	18	3	1	48	10	493	2871	6710	1473
apFAB312--apFAB834	11734	31	66	0	5	38	7	158	2277	5842	2987	321	2
apFAB346--apFAB833	11729	35	2	111	0	0	7	7	390	5328	5234	532	83
apFAB338--apFAB901	11702	15	2	76	155	2740	4646	3033	517	105	91	129	193
apFAB302--apFAB834	11699	26	102	35	18	41	9	3	52	814	3412	6577	610
BBa_J23100--apFAB837	11684	3	2	0	0	2	1	4	19	233	2747	6839	1834
BBa_J23109--apFAB910	11650	7	22	239	556	5656	3641	1431	32	39	24	1	2
apFAB62--BBa_J61112	11648	4	3	47	0	1	0	3	136	4245	4988	1926	295
apFAB311--apFAB831	11603	31	0	160	193	3672	4256	2916	367	5	0	2	1
apFAB311--BBa_J61113	11601	39	389	780	1169	6188	2059	834	96	2	45	0	0
BBa_J23116--apFAB831	11595	551	3500	3261	1734	2051	404	39	7	0	47	0	1
apFAB64--apFAB831	11594	2	2	3	1	1	5	1	306	5121	3950	1619	583
apFAB312--BBa_J61112	11594	48	454	1305	1438	5767	2017	392	126	46	0	0	1
BBa_J23106--apFAB827	11587	15	10	101	539	6213	3252	1233	205	11	5	0	3
apFAB317--apFAB876	11556	5	1	1	2	33	4	167	4485	5318	1440	99	1
BBa_J23118--apFAB872	11539	25	390	812	1293	6303	2268	439	8	1	0	0	0
apFAB317--apFAB872	11535	58	244	793	1398	6699	1689	480	35	23	35	80	1
BBa_J23104--apFAB864	11527	81	570	731	1559	5301	2244	592	106	63	124	155	1
BBa_J23105--apFAB894	11512	545	2521	3235	2663	2332	74	75	24	8	34	1	0
BBa_J23115--apFAB904	11512	142	1081	1921	2574	4589	738	463	1	1	2	0	0
apFAB339--Anderson_RBS	11508	1	3	2	1	0	53	31	965	6477	3038	936	1
apFAB63--apFAB954	11478	1	19	2	1	3	0	37	545	6817	3548	505	0
BBa_J23118--apFAB917	11441	1	3	1	1	2	2	0	1	700	3585	6268	877
apFAB342--apFAB954	11430	23	60	100	178	3708	4030	2653	468	203	5	2	0
apFAB64--apFAB856	11422	15	0	10	1	4	12	61	695	6285	3654	683	2
apFAB322--apFAB837	11414	24	3	0	0	1	1	0	0	169	271	5548	5397
apFAB259--apFAB917	11410	478	1882	3253	2258	2768	287	332	57	59	34	1	1
apFAB338--apFAB910	11390	51	789	1551	2144	5430	941	280	138	65	0	0	1
BBa_J23108--apFAB904	11381	494	2330	2438	2383	2850	576	261	42	3	2	2	0
apFAB338--apFAB923	11356	1	4	45	0	5	17	93	1195	7336	1966	693	1
apFAB311--apFAB833	11350	101	1009	1247	1902	4985	1258	775	0	2	70	0	1
BBa_J23118--apFAB857	11298	3	3	0	0	4	14	106	1458	6054	2831	825	0
apFAB306--BBa_J61112	11292	14	419	848	1719	5981	1590	631	29	2	58	1	0
apFAB115--apFAB831	11261	9	49	0	1	4	0	60	508	5617	4521	267	225
apFAB323--apFAB821	11254	18	1	55	49	5	0	4	291	4148	4377	2125	181
BBa_J23108--apFAB910	11245	1027	3231	2669	1763	1707	570	79	1	105	89	2	2
BBa_J23118--apFAB909	11240	9	5	2	47	3	18	193	2228	5971	2247	483	34
BBa_J23114--apFAB837	11232	244	1308	3451	2614	3013	469	128	0	4	1	0	0
BBa_J23118--apFAB889	11223	11	38	46	2	27	1	33	245	4941	4699	874	306
apFAB77--BBa_J61110	11212	8	2	40	51	2	0	2	67	1709	4163	4249	919
BBa_J23109--apFAB872	11210	335	2360	3540	2206	2090	407	159	2	30	71	1	9
apFAB277--apFAB904	11206	18	127	10	31	455	2874	5161	2109	419	2	0	0
apFAB125--apFAB954	11201	17	34	0	26	28	37	92	3152	5292	1998	522	3
apFAB104--BBa_J61108	11184	269	1577	2463	2408	3653	566	196	50	2	0	0	0
apFAB346--apFAB845	11181	3	0	2	30	3	15	340	4019	4878	1487	403	1
apFAB130--B0034_RBS	11171	19	0	19	0	11	10	20	129	1630	4148	4258	927
apFAB302--apFAB844	11170	68	109	737	721	6457	2327	562	109	78	1	0	1
apFAB302--salis-2-4	11169	4	0	1	0	1	18	7	99	3289	6452	1298	0
apFAB342--apFAB892	11159	61	491	1564	1751	5215	1380	524	100	10	62	1	0
apFAB300--apFAB837	11146	314	1365	2185	2403	4033	561	108	1	46	127	2	1
apFAB277--BBa_J61108	11127	36	1	123	351	3377	4302	2387	264	189	97	0	0
apFAB339--apFAB903	11108	621	3548	2837	1754	1713	201	70	24	41	180	118	1
apFAB345--BBa_J61110	11097	14	41	0	1	2	23	55	604	5949	3460	948	0
apFAB115--apFAB904	11090	12	0	2	2	1	1	39	20	355	1086	7289	2283
apFAB76--apFAB954	11082	1	0	0	2	1	2	1	42	904	4487	4648	994
apFAB104--BBa_J61129	11063	503	3141	3298	2391	1141	295	221	12	3	57	1	0
BBa_J23100--apFAB954	11061	9	2	58	0	68	0	0	33	182	1465	6604	2640
apFAB302--apFAB848	11040	19	1	2	1	3	16	15	63	2013	4307	4227	373
apFAB339--apFAB832	11031	2	0	1	22	0	64	0	95	4203	4426	2123	95
apFAB277--apFAB872	11031	393	2443	2729	2694	2321	361	71	17	1	0	1	0
BBa_J23102--apFAB856	11007	7	17	3	0	3	13	2	210	4621	4009	2121	1
apFAB321--apFAB901	11002	4	116	79	376	3636	4592	1855	343	1	0	0	0
