Name,                                       Total,      Bin 1,    Bin 2,     Bin 3,     Bin 4,     Bin 5,     Bin 6,    Bin 7,     Bin 8,    Bin 9,     Bin 10,    Bin 11,    Bin 12,
Total number of sequences given as input:,  130817269,  6647076,  13951059,  12236210,  10278361,  14715549,  9467013,  10411150,  9531817,  13519921,  10781979,  10790456,  8486678,
Total merged sequences:,                    94979284,   4389963,  9442043,   8509409,   7247518,   10611453,  6959250,  7718392,   7206833,  10236612,  8082011,   8160392,   6415408,
Total trimmed and merged sequences:,        94979284,   4389963,  9442043,   8509409,   7247518,   10611453,  6959250,  7718392,   7206833,  10236612,  8082011,   8160392,   6415408,
Total untrimmed and merged sequences:,      0,          0,        0,         0,         0,         0,         0,        0,         0,        0,         0,         0,         0,
Percent of total sequences used:,           72.6%,      66.0%,    67.7%,     69.5%,     70.5%,     72.1%,     73.5%,    74.1%,     75.6%,    75.7%,     75.0%,     75.6%,     75.6%,
Total left trims (CATATG):,                 60891,      4652,     9200,      8043,      5433,      7163,      3943,     4231,      3460,     5094,      3975,      3181,      2516,
Total right trims (GGCGCGCC):,              87738309,   4159063,  8916475,   8006406,   6797759,   9871441,   6430357,  7105342,   6568640,  9308480,   7360945,   7373048,   5840353,
Total unmerged sequences:,                  35834098,   2256909,  4508551,   3726426,   3030538,   4103614,   2507493,  2692455,   2324766,  3282937,   2699670,   2629741,   2070998,
Total discarded sequences:,                 3887,       204,      465,       375,       305,       482,       270,      303,       218,      372,       298,       323,       272,
Total unique correct sequences:,            12243,      8399,     7294,      6835,      6926,      7922,      7523,     8188,      7670,     7310,      8600,      6315,      6020,
Total count of correct sequences:,          46727589,   2078993,  4479898,   3797144,   2947851,   5395497,   3394469,  3854272,   3495095,  5111210,   4303083,   4411051,   3459026,
Percentage of correct sequences used:,      49.2%,      47.4%,    47.4%,     44.6%,     40.7%,     50.8%,     48.8%,    49.9%,     48.5%,    49.9%,     53.2%,     54.1%,     53.9%,
Total reference sequences:,                 12653,      12653,    12653,     12653,     12653,     12653,     12653,    12653,     12653,    12653,     12653,     12653,     12653,
